indicator,covid_beta_on_dlog,growth_effect,year,actual_or_model_value,no_covid_counterfactual,level_gap_ratio
游客接待量_主插补,-0.19610436767431386,-0.17807355235023015,2020,1853.73,3145.0384789726745,0.4105859078056431
游客接待量_主插补,-0.19610436767431386,-0.17807355235023015,2021,1713.3964702354788,3532.5953693638407,0.5149751695043319
游客接待量_主插补,-0.19610436767431386,-0.17807355235023015,2022,2203.23434541834,3967.9101311749882,0.4447368330981044
旅游综合收入,-0.15688691361670287,-0.14519928032610352,2020,103.4,191.05764101963905,0.45880206911289456
旅游综合收入,-0.15688691361670287,-0.14519928032610352,2021,110.0,221.23043752720767,0.5027808956601109
旅游综合收入,-0.15688691361670287,-0.14519928032610352,2022,160.0,256.1682758526723,0.3754105598461407
