year,indicator,value,unit,scope,status,source_title,source_url,note
2010,tourist_arrivals,848,万人次,全年,official_actual,2011年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202964.html,全县接待游客
2011,tourist_arrivals,1098.6,万人次,全年,official_actual,2011年蓟县国民经济和社会发展统计公报,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212509.html,接待中外游客
2011,tourism_comprehensive_revenue,46,亿元,全年,official_actual,2011年蓟县国民经济和社会发展统计公报,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212509.html,
2011,tourism_direct_revenue,9.2,亿元,全年,official_actual,2011年蓟县国民经济和社会发展统计公报,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212509.html,不得与综合收入混用
2011,gdp,264.5,亿元,全年,official_preliminary,2011年蓟县国民经济和社会发展统计公报,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212509.html,当年初步核算
2011,tertiary_industry_value_added,165,亿元,全年,official_preliminary,2011年蓟县国民经济和社会发展统计公报,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212509.html,当年初步核算
2013,tourist_arrivals,1295,万人次,全年,official_actual,2013年旅游工作总结,https://www.tjjz.gov.cn/zwgk/zcwj/qjwj/qjjg/whhlyj2/202012/t20201227_5212681.html,接待中外游客
2013,tourism_comprehensive_revenue,63.2,亿元,全年,official_actual,2013年旅游工作总结,https://www.tjjz.gov.cn/zwgk/zcwj/qjwj/qjjg/whhlyj2/202012/t20201227_5212681.html,
2013,tourism_direct_revenue,12.63,亿元,全年,official_actual,2013年旅游工作总结,https://www.tjjz.gov.cn/zwgk/zcwj/qjwj/qjjg/whhlyj2/202012/t20201227_5212681.html,不得与综合收入混用
2014,tourist_arrivals,1554,万人次,全年,official_actual,蓟县2015年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203044.html,
2014,tourism_comprehensive_revenue,79,亿元,全年,official_actual,蓟县2015年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203044.html,
2015,tourist_arrivals,1814.4,万人次,全年,official_actual,建设项目环境影响报告表引用蓟州区统计资料,https://www.tjjz.gov.cn/xwzx/GSGG20201207/202012/W020201226537834083333.pdf,与年初目标1800万人次区分
2015,tourism_comprehensive_revenue,94,亿元,全年,official_actual,建设项目环境影响报告表引用蓟州区统计资料,https://www.tjjz.gov.cn/xwzx/GSGG20201207/202012/W020201226537834083333.pdf,与年初目标93亿元区分
2015,tourism_direct_revenue,18.8,亿元,全年,official_actual,建设项目环境影响报告表引用蓟州区统计资料,https://www.tjjz.gov.cn/xwzx/GSGG20201207/202012/W020201226537834083333.pdf,不得与综合收入混用
2017,tourist_arrivals,2400,万人次,全年,official_actual,天津市蓟州区2018年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203142.html,
2017,tourism_comprehensive_revenue,130,亿元,全年,official_actual,天津市蓟州区2018年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203142.html,
2018,tourist_arrivals,2660,万人次,全年,official_actual,天津市蓟州区生态文明建设规划,https://www.tjjz.gov.cn/zwgk/zcwj/qjwj/qzf2/202012/W020201227396987558810.pdf,
2018,tourism_comprehensive_revenue,142,亿元,全年,official_actual,天津市蓟州区生态文明建设规划,https://www.tjjz.gov.cn/zwgk/zcwj/qjwj/qzf2/202012/W020201227396987558810.pdf,
2018,gdp,381.662481359373,亿元,全年,official_revised,天津统计年鉴2019·蓟州区基本情况,https://stats.tj.gov.cn/nianjian/2019nj/zk/html/24-17-0.xls,官方年鉴表24-17；采用表中精确值
2019,tourist_arrivals,2800,万人次,全年,official_actual,蓟州区林业发展十四五规划,https://www.tjjz.gov.cn/zwgk/jcygk/jcygk1/202201/P020211220620296518186.pdf,接待中外游客
2019,tourism_comprehensive_revenue,165,亿元,全年,official_actual,蓟州区林业发展十四五规划,https://www.tjjz.gov.cn/zwgk/jcygk/jcygk1/202201/P020211220620296518186.pdf,
2019,gdp,210.80,亿元,全年,official_actual,2019年蓟州区国民经济和社会发展统计公报,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202107/t20210705_5495855.html,与2018年之间存在第四次经济普查后的统计口径断点
2019,tertiary_industry_value_added,129.92,亿元,全年,official_actual,2019年蓟州区国民经济和社会发展统计公报,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202107/t20210705_5495855.html,与2018年之间存在统计口径断点
2020,gdp,224.6,亿元,全年,official_preliminary,2020年蓟州区国民经济和社会发展统计公报,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202111/t20211115_5703949.html,现价初步核算
2020,tertiary_industry_value_added,142.55,亿元,全年,official_preliminary,2020年蓟州区国民经济和社会发展统计公报,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202111/t20211115_5703949.html,现价初步核算
2021,tourism_comprehensive_revenue,110,亿元,全年,official_actual,天津市蓟州区2022年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202112/t20211227_5762428.html,
2021,gdp,274.2034,亿元,全年,official_revised,蓟州统计年鉴2022,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202311/W020250107625663560312.pdf,2021年初步核实现价
2021,tertiary_industry_value_added,161.9732,亿元,全年,official_revised,蓟州统计年鉴2022,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202311/W020250107625663560312.pdf,2021年初步核实现价
2022,tourism_comprehensive_revenue,160,亿元,全年,official_actual,天津市蓟州区2023年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202301/t20230106_6070587.html,疫情冲击年份
2022,tourism_direct_revenue,32,亿元,全年,official_actual,天津市蓟州区2023年政府工作报告,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202301/t20230106_6070587.html,不得与综合收入混用
