year,actual_dlnY,fitted_dlnY,residual
2012,0.12260232209233228,0.13968201396170382,-0.01707969186937154
2013,0.19506058257138448,0.14064187923202218,0.0544187033393623
2014,0.22314355131420976,0.21305620175152984,0.010087349562679926
2015,0.17384692980298233,0.0873904442238586,0.08645648557912373
2016,0.15354259224391117,0.11136210507722577,0.042180487166685404
2017,0.1706970759416673,0.1601421631914411,0.010554912750226214
2018,0.08829260714567821,0.1079518423430914,-0.01965923519741318
2019,0.15011841629931988,0.15004066796868096,7.77483306389215e-05
2024,0.14327489289705214,0.09870756977991976,0.04456732311713238
2025,-0.09984533496971613,0.11175874780934783,-0.21160408277906395
