factor,perturbation,revenue_2030_plus,revenue_2030_minus,plus_change_2030,minus_change_2030,five_year_absolute_spread,normalized_sensitivity
M,0.1,372.50223888717676,339.98952157455426,0.04672278389383289,-0.04463720921409853,84.4770133969433,0.05899646138025533
Q,0.1,366.1912446275905,345.8489514502158,0.028989034157813398,-0.028172345083870343,52.85885007474599,0.036915191264944705
F,0.1,356.6542276770343,355.0915936270494,0.002190234337572816,-0.0022007316547225653,3.503967249014295,0.0024470759579626818
M,0.2,389.90658049467123,324.81333816942976,0.09562858632245552,-0.08728193798177342,169.0678059995947,0.11807238308049016
Q,0.2,376.8067751263916,336.1055754430653,0.058818432417028665,-0.055551009140216934,105.74557846600854,0.07384985199214404
F,0.2,357.4299846241914,354.3046286656232,0.004370093641986816,-0.004412085223258866,7.008161598870913,0.004894310517011444
U-Q联动,低0.669/高1.131,399.2867870492976,278.98190504175415,0.12198675251144175,-0.21606721835098652,313.2325291842287,0.21875312665499266
