term,coefficient,HAC_SE_maxlag1,p_value,CI95_low,CI95_high,n,df_resid,years,Shock2020_identifiable,R2,adjusted_R2,AIC,AICc,BIC,LOOCV_RMSE
intercept,0.12003675966342278,0.031673519758055504,0.005313234489959115,0.04699749212488272,0.19307602720196285,10,8,2012;2013;2014;2015;2016;2017;2018;2019;2024;2025,False,0.17081813261548084,0.06717039919241596,-47.1817793786292,-45.467493664343486,-46.57660919264111,0.09179672226385549
dlnF_lag1,0.07867073688659101,0.040100539798718984,0.08541507945836496,-0.013801273713165613,0.17114274748634764,10,8,2012;2013;2014;2015;2016;2017;2018;2019;2024;2025,False,0.17081813261548084,0.06717039919241596,-47.1817793786292,-45.467493664343486,-46.57660919264111,0.09179672226385549
